geometry_id,run_id,gun_particle,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,kinetic_energy_GeV,total_energy_GeV,muon_threshold_GeV,detection_efficiency,energy_resolution
4968921c,run63de71b279,neutron,10,3,3,4,3.8472,4.2991,4.4339,0.3416,0.3582,0.4265,0.05,3.0,3.9395654205,0.02,0.6376666666666667,0.3662466266452559
0f6e860e,rund1bd339186,neutron,10,3,3,4,3.5288,3.8362,4.2661,0.3366,0.547,0.311,0.05,3.0,3.9395654205,0.02,0.6596666666666666,0.4268588209507651
0f6e860e,runfda22e92c2,kaon0L,10,3,3,4,3.5288,3.8362,4.2661,0.3366,0.547,0.311,0.05,3.0,3.497611,0.02,0.726,0.3874497130442751
9a5a868b,run17af86e8f4,kaon0L,10,3,3,4,4.1896,4.3197,4.2727,0.3795,0.4384,0.5089,0.05,3.0,3.497611,0.02,0.7856666666666666,0.3928750775105473
9a5a868b,runc7d0494090,neutron,10,3,3,4,4.1896,4.3197,4.2727,0.3795,0.4384,0.5089,0.05,3.0,3.9395654205,0.02,0.727,0.4019394776489262
1e49465a,run6e3f0f9bd6,neutron,10,3,3,4,4.3847,4.209,4.3017,0.4697,0.3619,0.482,0.05,3.0,3.9395654205,0.02,0.7003333333333334,0.4098637899543476
1e49465a,run8aafb505e7,kaon0L,10,3,3,4,4.3847,4.209,4.3017,0.4697,0.3619,0.482,0.05,3.0,3.497611,0.02,0.788,0.3766612438030245
0e2f56a4,run8d6fa44f1a,kaon0L,10,3,3,4,3.7822,4.4806,4.4167,0.4597,0.5409,0.5925,0.05,3.0,3.497611,0.02,0.8306666666666667,0.38223980154709736
0e2f56a4,rund0c84c75a2,neutron,10,3,3,4,3.7822,4.4806,4.4167,0.4597,0.5409,0.5925,0.05,3.0,3.9395654205,0.02,0.8073333333333333,0.4084050889838631
8c3ff9ab,run3ac9de781f,neutron,10,3,3,4,4.4909,3.5828,4.3631,0.5421,0.4697,0.4893,0.05,3.0,3.9395654205,0.02,0.767,0.4077842994030093
8c3ff9ab,runc302859cfd,kaon0L,10,3,3,4,4.4909,3.5828,4.3631,0.5421,0.4697,0.4893,0.05,3.0,3.497611,0.02,0.8013333333333333,0.39627774134328697
cbb73eff,rund4d73bea91,neutron,10,3,3,4,4.4514,4.01,3.6574,0.5173,0.5932,0.3148,0.05,3.0,3.9395654205,0.02,0.7223333333333334,0.4387477465115566
cbb73eff,runbdff1d872b,kaon0L,10,3,3,4,4.4514,4.01,3.6574,0.5173,0.5932,0.3148,0.05,3.0,3.497611,0.02,0.7596666666666667,0.4374669926888124
891cb5ef,run9f3cbf93fe,kaon0L,10,3,3,4,4.1804,4.4018,3.7636,0.4069,0.4097,0.4784,0.05,3.0,3.497611,0.02,0.786,0.3868936741966249
891cb5ef,run858226146d,neutron,10,3,3,4,4.1804,4.4018,3.7636,0.4069,0.4097,0.4784,0.05,3.0,3.9395654205,0.02,0.6826666666666666,0.39897287775458584
885fb931,run8796f921d9,neutron,10,3,3,4,4.2203,3.9866,4.0668,0.5204,0.4911,0.3713,0.05,3.0,3.9395654205,0.02,0.714,0.40644744312811576
885fb931,run45d02020a4,kaon0L,10,3,3,4,4.2203,3.9866,4.0668,0.5204,0.4911,0.3713,0.05,3.0,3.497611,0.02,0.7883333333333333,0.39910121735307263
6c9a8efb,run0eee8754ee,neutron,10,3,3,4,3.5021,4.1432,3.6726,0.5755,0.4463,0.3509,0.05,3.0,3.9395654205,0.02,0.6916666666666667,0.44357244939002066
6c9a8efb,run5ba5739527,kaon0L,10,3,3,4,3.5021,4.1432,3.6726,0.5755,0.4463,0.3509,0.05,3.0,3.497611,0.02,0.7666666666666667,0.4127954795406638
0d0070b1,runc0b0cb3043,kaon0L,10,3,3,4,4.3723,3.9476,3.6507,0.4051,0.3476,0.3268,0.05,3.0,3.497611,0.02,0.708,0.35788901026841774
0d0070b1,run231591acf6,neutron,10,3,3,4,4.3723,3.9476,3.6507,0.4051,0.3476,0.3268,0.05,3.0,3.9395654205,0.02,0.6136666666666667,0.40439449793387927
11ea6552,runc046b6bc78,kaon0L,10,3,3,4,4.4391,4.1797,4.1298,0.554,0.3678,0.4366,0.05,3.0,3.497611,0.02,0.7836666666666666,0.4110702222191169
11ea6552,run8e03c5ca7b,neutron,10,3,3,4,4.4391,4.1797,4.1298,0.554,0.3678,0.4366,0.05,3.0,3.9395654205,0.02,0.7086666666666667,0.40666707000133107
6669c902,run5164f32b8a,kaon0L,10,3,3,4,3.523,4.2162,3.5055,0.45,0.3067,0.4381,0.05,3.0,3.497611,0.02,0.747,0.3705665004033555
6669c902,run9d405963a4,neutron,10,3,3,4,3.523,4.2162,3.5055,0.45,0.3067,0.4381,0.05,3.0,3.9395654205,0.02,0.6646666666666666,0.40629179627245743
fc66bb0e,run25ada7ca4c,kaon0L,10,3,3,4,3.9936,3.6389,3.8947,0.4791,0.3498,0.3977,0.05,3.0,3.497611,0.02,0.757,0.4057123797925434
fc66bb0e,run4cd01c4cf6,neutron,10,3,3,4,3.9936,3.6389,3.8947,0.4791,0.3498,0.3977,0.05,3.0,3.9395654205,0.02,0.6833333333333333,0.3836928942409637
ed1e08a2,runf67747430c,neutron,10,3,3,4,4.4819,3.653,4.2583,0.5124,0.4667,0.3631,0.05,3.0,3.9395654205,0.02,0.7313333333333333,0.4019673803444235
ed1e08a2,run8a7fe49d6e,kaon0L,10,3,3,4,4.4819,3.653,4.2583,0.5124,0.4667,0.3631,0.05,3.0,3.497611,0.02,0.7596666666666667,0.3991374466785029
da038f11,run682772d7e6,kaon0L,10,3,3,4,4.4732,3.6666,3.9685,0.3323,0.4044,0.301,0.05,3.0,3.497611,0.02,0.666,0.35827772325748375
da038f11,run5ad3ab810a,neutron,10,3,3,4,4.4732,3.6666,3.9685,0.3323,0.4044,0.301,0.05,3.0,3.9395654205,0.02,0.581,0.36831117167207267
e23ada1a,run93a1b03cf6,neutron,10,3,3,4,4.3565,4.377,4.1919,0.3073,0.3645,0.378,0.05,3.0,3.9395654205,0.02,0.5676666666666667,0.33793685299357035
e23ada1a,run69385d92a0,kaon0L,10,3,3,4,4.3565,4.377,4.1919,0.3073,0.3645,0.378,0.05,3.0,3.497611,0.02,0.696,0.37215176024734176
9b87f1d8,runef50c17d2c,kaon0L,10,3,3,4,3.9762,3.5785,4.4562,0.5103,0.5879,0.5361,0.05,3.0,3.497611,0.02,0.8143333333333334,0.3991474865809733
9b87f1d8,run2ac1bc412c,neutron,10,3,3,4,3.9762,3.5785,4.4562,0.5103,0.5879,0.5361,0.05,3.0,3.9395654205,0.02,0.7853333333333333,0.41017995158131076
5f0715ea,runccb76d8e4a,kaon0L,10,3,3,4,4.1384,3.88,4.3165,0.3289,0.4773,0.4459,0.05,3.0,3.497611,0.02,0.762,0.3874221199040023
5f0715ea,run3c15a6c824,neutron,10,3,3,4,4.1384,3.88,4.3165,0.3289,0.4773,0.4459,0.05,3.0,3.9395654205,0.02,0.688,0.3992966961886791
bd97652c,runcec741bdd2,kaon0L,10,3,3,4,4.4798,3.5539,3.9813,0.4309,0.4787,0.5632,0.05,3.0,3.497611,0.02,0.8,0.4244958512418965
bd97652c,runce2a50d159,neutron,10,3,3,4,4.4798,3.5539,3.9813,0.4309,0.4787,0.5632,0.05,3.0,3.9395654205,0.02,0.765,0.4064242552414017
96778a1f,runb485ee0feb,neutron,10,3,3,4,3.6976,4.2727,3.6384,0.4659,0.3376,0.3692,0.05,3.0,3.9395654205,0.02,0.6396666666666667,0.3894722979963591
96778a1f,run7c3643039e,kaon0L,10,3,3,4,3.6976,4.2727,3.6384,0.4659,0.3376,0.3692,0.05,3.0,3.497611,0.02,0.723,0.38774477968238
371175c1,runca4e69c5b6,kaon0L,10,3,3,4,4.0634,4.4195,3.8866,0.5841,0.3119,0.3048,0.05,3.0,3.497611,0.02,0.704,0.42040546878404716
371175c1,runf52bf451c4,neutron,10,3,3,4,4.0634,4.4195,3.8866,0.5841,0.3119,0.3048,0.05,3.0,3.9395654205,0.02,0.6306666666666667,0.4472526527019053
ebc48997,run41424ac1e3,kaon0L,10,3,3,4,4.0406,4.3299,3.9759,0.595,0.3315,0.5079,0.05,3.0,3.497611,0.02,0.7963333333333333,0.4069344515289458
ebc48997,run617edc192c,neutron,10,3,3,4,4.0406,4.3299,3.9759,0.595,0.3315,0.5079,0.05,3.0,3.9395654205,0.02,0.7356666666666667,0.3985112081913939
0988d8c0,run7b0252f578,neutron,10,3,3,4,4.1424,3.5054,3.9443,0.5254,0.335,0.4498,0.05,3.0,3.9395654205,0.02,0.7183333333333334,0.39513485843762425
0988d8c0,run533b25d41a,kaon0L,10,3,3,4,4.1424,3.5054,3.9443,0.5254,0.335,0.4498,0.05,3.0,3.497611,0.02,0.7633333333333333,0.40675673335406
a8df8ba0,rund16558a37b,neutron,10,3,3,4,4.3655,3.6056,3.8721,0.5442,0.4963,0.3909,0.05,3.0,3.9395654205,0.02,0.7373333333333333,0.43434347454954036
a8df8ba0,runc8292bc7be,kaon0L,10,3,3,4,4.3655,3.6056,3.8721,0.5442,0.4963,0.3909,0.05,3.0,3.497611,0.02,0.7806666666666666,0.3933382931121998
ab14479f,run43588dd065,kaon0L,10,3,3,4,3.5463,4.4744,3.6427,0.5832,0.5726,0.5282,0.05,3.0,3.497611,0.02,0.811,0.3959812781583251
