geometry_id,kinetic_energy_GeV,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,kaon0L_efficiency,kaon0L_efficiency_std,kaon0L_energy_resolution,kaon0L_energy_resolution_std,neutron_efficiency,neutron_efficiency_std,neutron_energy_resolution,neutron_energy_resolution_std
8c69e505,1.0,10,3,3,4,4.4241,3.5732,4.0345,0.5368,0.4491,0.3303,0.05,0.30766666666666664,,0.37441861440437024,,0.157,,0.40162527779390894,
8df588b1,1.0,10,3,3,4,3.5393,3.8874,4.4818,0.3863,0.5012,0.4945,0.05,0.3016666666666667,,0.4455351335177207,,0.15733333333333333,,0.38719888133445424,
8ef84b07,1.0,10,3,3,4,3.9561,3.8274,4.0828,0.3723,0.4708,0.5729,0.05,0.302,,0.40558608864867435,,0.16,,0.47806772542469944,
93a0ac75,1.0,10,3,3,4,4.0723,4.3431,4.1811,0.3611,0.4135,0.3856,0.05,0.196,,0.3539457316247949,,0.094,,0.601994364106162,
96778a1f,1.0,10,3,3,4,3.6976,4.2727,3.6384,0.4659,0.3376,0.3692,0.05,0.24133333333333334,,0.3873767408703248,,0.103,,0.36166242974545837,
9701c5f8,1.0,10,3,3,4,4.1237,3.9955,3.9642,0.3951,0.3127,0.3878,0.05,0.171,,0.4566903639860871,,0.082,,0.44513852154526895,
97068ed0,1.0,10,3,3,4,4.0785,3.8057,3.5908,0.4851,0.3864,0.5813,0.05,0.3486666666666667,,0.4449780784406936,,0.17033333333333334,,0.45763881619380425,
99071f9e,1.0,10,3,3,4,3.9677,3.5143,3.8441,0.3217,0.4108,0.571,0.05,0.2623333333333333,,0.42174961390011356,,0.13366666666666666,,0.4092002149249113,
9a5a868b,1.0,10,3,3,4,4.1896,4.3197,4.2727,0.3795,0.4384,0.5089,0.05,0.234,,0.39235736923628545,,0.115,,0.371765773896628,
9b87f1d8,1.0,10,3,3,4,3.9762,3.5785,4.4562,0.5103,0.5879,0.5361,0.05,0.4126666666666667,,0.405866977661883,,0.24766666666666667,,0.4046852527812808,
9b9dba39,1.0,10,3,3,4,3.7211,4.1344,3.9304,0.4222,0.5359,0.5902,0.05,0.37366666666666665,,0.4055723170749065,,0.20333333333333334,,0.38299617579415224,
9d207cca,1.0,10,3,3,4,4.497,3.7845,3.7182,0.5936,0.5302,0.3807,0.05,0.3626666666666667,,0.401940819353204,,0.206,,0.41594390686597565,
a0407d2b,1.0,10,3,3,4,4.2103,4.3631,4.23,0.3751,0.558,0.3438,0.05,0.24566666666666667,,0.47042717879870544,,0.111,,0.36483681966378323,
a27b73b0,1.0,10,3,3,4,4.2884,3.6742,4.3994,0.3627,0.5689,0.4553,0.05,0.2986666666666667,,0.40500612445736817,,0.155,,0.391692503455182,
a672a812,1.0,10,3,3,4,3.6394,4.0602,3.5563,0.4522,0.4509,0.349,0.05,0.26966666666666667,,0.35956682604292595,,0.13066666666666665,,0.417764587785048,
a72e7022,1.0,10,3,3,4,3.7104,4.2258,3.6795,0.5061,0.3196,0.3172,0.05,0.21733333333333332,,0.4042853485654277,,0.10533333333333333,,0.4137697490195344,
a8599863,1.0,10,3,3,4,3.5802,3.8238,3.9178,0.4161,0.493,0.3758,0.05,0.297,,0.38373838837240665,,0.14633333333333334,,0.3545389440034036,
a8df8ba0,1.0,10,3,3,4,4.3655,3.6056,3.8721,0.5442,0.4963,0.3909,0.05,0.3393333333333333,,0.4398324199697603,,0.19133333333333333,,0.3973187229961999,
a9d91d2e,1.0,10,3,3,4,3.8688,3.5427,4.1472,0.4241,0.5223,0.4872,0.05,0.3416666666666667,,0.471694451704721,,0.17833333333333334,,0.3491047901873068,
aa1d2ba5,1.0,10,3,3,4,4.0101,3.8577,4.1743,0.3154,0.5895,0.5826,0.05,0.33,,0.4117045535885631,,0.17666666666666667,,0.40105551785025106,
ab14479f,1.0,10,3,3,4,3.5463,4.4744,3.6427,0.5832,0.5726,0.5282,0.05,0.442,,0.4200964222410563,,0.25866666666666666,,0.44896441848490976,
ac874649,1.0,10,3,3,4,3.8268,3.532,3.7106,0.3712,0.4224,0.494,0.05,0.293,,0.4247561779992857,,0.14,,0.37512128360773006,
acf8eb57,1.0,10,3,3,4,3.5794,4.1838,3.9386,0.5512,0.398,0.4308,0.05,0.311,,0.4485688035746671,,0.16466666666666666,,0.39166597543034015,
b0cebb3f,1.0,10,3,3,4,3.5632,3.8648,4.2178,0.5694,0.5528,0.5506,0.05,0.45666666666666667,,0.42036660066382564,,0.24466666666666667,,0.45649117928258764,
b2252494,1.0,10,3,3,4,4.2649,3.6862,3.9208,0.3883,0.3244,0.4712,0.05,0.21633333333333332,,0.3836624210267015,,0.09966666666666667,,0.4062743990303955,
b3a92429,1.0,10,3,3,4,4.1174,4.1886,4.3261,0.5975,0.3738,0.4754,0.05,0.31566666666666665,,0.3898871825772748,,0.16366666666666665,,0.42756880852904205,
b5c28208,1.0,10,3,3,4,4.0354,3.9572,4.2811,0.3122,0.4896,0.4842,0.05,0.242,,0.4149966850186199,,0.12833333333333333,,0.40900890719471267,
bc38436d,1.0,10,3,3,4,3.548,3.6944,3.8244,0.4678,0.3163,0.5032,0.05,0.296,,0.3818026043214867,,0.14933333333333335,,0.38056181115963,
bc63d385,1.0,10,3,3,4,3.7591,3.7318,3.518,0.4082,0.4943,0.5641,0.05,0.372,,0.44135164081775563,,0.20133333333333334,,0.4018855609699294,
bd97652c,1.0,10,3,3,4,4.4798,3.5539,3.9813,0.4309,0.4787,0.5632,0.05,0.332,,0.3837791867886689,,0.172,,0.36911115849180026,
be9cc0a9,1.0,10,3,3,4,4.2001,4.4708,4.0458,0.4114,0.3423,0.4516,0.05,0.182,,0.3456259399556899,,0.096,,0.3838737859572835,
bef970be,1.0,10,3,3,4,4.2448,4.1022,4.3365,0.5531,0.5106,0.3571,0.05,0.341,,0.4061064088429049,,0.17533333333333334,,0.5085987828684024,
